"ordre","code","nom","micro_competence_reference","lien","description","reference"
"101","5.1.2","Créer une base de données SQL","DWB-5.1","https://solicode-web-mobile.github.io/autoformations-web/concevoir-base-relationnelle/","Créer des tables et un script SQL. ","DWB-5.1.2"
"46","5.1.U1","Outils & workspace","DMB-C5.1","https://solicode-web-mobile.github.io/autoformation-mobile/mobile-onboarding/","Android Studio, SDK/AVD/ADB, arborescence projet.","DMB-5.1.U1"
"47","5.1.U2","Versionning & livrables","DMB-C5.1","https://solicode-web-mobile.github.io/autoformation-mobile/mobile-onboarding/","Init Git et APK debug livrable.","DMB-5.1.U2"
"48","5.1.U3","Hello + Compteur","DMB-C5.1","https://solicode-web-mobile.github.io/autoformation-mobile/mobile-onboarding/","UI Compose de base, états saveable, finitions.","DMB-5.1.U3"
"102","5.2.1","Rechercher des données efficacement","DWB-5.2","https://solicode-web-mobile.github.io/autoformations-web/requetes-manipulation-sql/","Effectuer des SELECT, WHERE et JOIN. ","DWB-5.2.1"
"103","5.2.2","Manipuler les données","DWB-5.2","https://solicode-web-mobile.github.io/autoformations-web/requetes-manipulation-sql/","Utiliser INSERT, UPDATE et DELETE. ","DWB-5.2.2"
"49","5.2.U1","Syntaxe & null-safety","DMB-C5.2","https://solicode-web-mobile.github.io/autoformation-mobile/kotlin-essentiel/","Variables/boucles et null-safety Kotlin.","DMB-5.2.U1"
"50","5.2.U2","Fonctions & données","DMB-C5.2","https://solicode-web-mobile.github.io/autoformation-mobile/kotlin-essentiel/","Fonctions/lambdas et data class/copy.","DMB-5.2.U2"
"51","5.2.U3","Collections & style","DMB-C5.2","https://solicode-web-mobile.github.io/autoformation-mobile/kotlin-essentiel/","Collections idiomatiques et bonnes pratiques.","DMB-5.2.U3"
"52","5.3.U1","Compose de base","DMB-C5.3","https://solicode-web-mobile.github.io/autoformation-mobile/android-compose/","Composables, inputs et previews.","DMB-5.3.U1"
"55","5.4.U1","Installation et ""Hello World""","DMB-C5.4","","<li><p data-path-to-node=""6,0,0""><b data-path-to-node=""6,0,0"" data-index-in-node=""0"">Contenu :</b> Installation du package <code data-path-to-node=""6,0,0"" data-index-in-node=""34"">nativephp/mobile</code>, initialisation du projet avec <code data-path-to-node=""6,0,0"" data-index-in-node=""82"">php artisan native:install</code>. Utilisation de l'outil <b data-path-to-node=""6,0,0"" data-index-in-node=""133"">Jump</b> pour tester l'application instantanément sur un smartphone via un QR code sans compilation lourde.</p></li><li><p data-path-to-node=""6,1,0""><b data-path-to-node=""6,1,0"" data-index-in-node=""0"">Objectif :</b> Maîtriser le flux de travail initial et réussir à afficher sa première vue Laravel sur un appareil mobile (réel ou émulateur).
[Image de l'architecture NativePHP Mobile avec le moteur PHP embarqué]</p></li>","DMB-5.4.U1"
"56","5.4.U2","Identité Visuelle et Configuration (Icône & Plus)","DMB-C5.4","","<p data-path-to-node=""8"">L'apprenant apprend à donner une allure professionnelle et ""native"" à son application.</p><ul data-path-to-node=""9""><li><p data-path-to-node=""9,0,0""><b data-path-to-node=""9,0,0"" data-index-in-node=""0"">Contenu :</b> * <b data-path-to-node=""9,0,0"" data-index-in-node=""12"">Icône :</b> Remplacement de l'icône par défaut pour les différents systèmes.</p><ul data-path-to-node=""9,0,1""><li><p data-path-to-node=""9,0,1,0,0""><b data-path-to-node=""9,0,1,0,0"" data-index-in-node=""0"">Splash Screen :</b> Mise en place de l'écran de démarrage.</p></li><li><p data-path-to-node=""9,0,1,1,0""><b data-path-to-node=""9,0,1,1,0"" data-index-in-node=""0"">""Autre chose"" (Shell &amp; Meta) :</b> Configuration du nom de l'application, gestion des permissions de base et personnalisation de la barre de statut (couleur, visibilité).</p></li></ul></li><li><p data-path-to-node=""9,1,0""><b data-path-to-node=""9,1,0"" data-index-in-node=""0"">Objectif :</b> Savoir manipuler le dossier <code data-path-to-node=""9,1,0"" data-index-in-node=""39"">nativephp/</code> et le fichier de configuration pour personnaliser l'expérience utilisateur globale.
[Image de la structure d'un projet mobile avec les fichiers de ressources icônes et splash screen]</p></li></ul>","DMB-5.4.U2"
"57","5.4.U3","Consommation d'une API","DMB-C5.4","","<p data-path-to-node=""11"">Interaction avec des données dynamiques et services distants.</p><ul data-path-to-node=""12""><li><p data-path-to-node=""12,0,0""><b data-path-to-node=""12,0,0"" data-index-in-node=""0"">Contenu :</b> Utilisation du client HTTP pour récupérer des données JSON externes, gestion de l'affichage en temps réel (via Livewire ou Vue.js dans la webview) et traitement des états ""hors-ligne"" (Offline-first).</p></li><li><p data-path-to-node=""12,1,0""><b data-path-to-node=""12,1,0"" data-index-in-node=""0"">Objectif :</b> Rendre l'application mobile vivante en la connectant à des sources de données externes et en gérant la fluidité des appels réseaux.</p></li></ul>","DMB-5.4.U3"
"104","6.1.1","Connexion sécurisée et lecture de données","DWB-6.1","https://solicode-web-mobile.github.io/autoformations-web/connecter-application-bdd/","Se connecter à une BDD avec PDO et lire les données. ","DWB-6.1.1"
"105","6.1.2","Écrire et modifier des données","DWB-6.1","https://solicode-web-mobile.github.io/autoformations-web/connecter-application-bdd/","Insérer, mettre à jour et supprimer des données. ","DWB-6.1.2"
"106","6.1.3","Sécuriser les requêtes SQL","DWB-6.1","https://solicode-web-mobile.github.io/autoformations-web/connecter-application-bdd/","Utiliser des requêtes préparées et sécuriser les données. ","DWB-6.1.3"
"58","6.1.U1","Fondamentaux et Pattern AAA","DMB-C6.1","","<p data-line=""7"" class=""code-line"" dir=""auto"" style=""margin-bottom: 16px; position: relative; color: rgb(36, 41, 46); font-family: -apple-system, BlinkMacSystemFont, &quot;Segoe UI&quot;, Helvetica, Arial, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;;"">Apprendre à structurer un test pour qu'il soit une documentation vivante du code.</p><ul data-line=""8"" class=""code-line"" dir=""auto"" style=""margin-bottom: 16px; padding-left: 2em; position: relative; color: rgb(36, 41, 46); font-family: -apple-system, BlinkMacSystemFont, &quot;Segoe UI&quot;, Helvetica, Arial, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;;""><li data-line=""8"" class=""code-line"" dir=""auto"" style=""position: relative;""><span style=""font-weight: 600;"">Contenu :</span>&nbsp;Organisation du dossier&nbsp;<code style=""font-family: SFMono-Regular, Consolas, &quot;Liberation Mono&quot;, Menlo, monospace; color: inherit; background-color: rgba(27, 31, 35, 0.05); padding: 0.2em 0.4em; border-radius: 3px; font-size: 13.6px; line-height: 1.357em; margin: 0px;"">tests/</code>, conventions de nommage, et découpage strict selon le pattern&nbsp;<span style=""font-weight: 600;"">Arrange</span>&nbsp;(Préparer),&nbsp;<span style=""font-weight: 600;"">Act</span>&nbsp;(Agir),&nbsp;<span style=""font-weight: 600;"">Assert</span>&nbsp;(Vérifier).</li><li data-line=""9"" class=""code-line"" dir=""auto"" style=""margin-top: 0.25em; position: relative;""><span style=""font-weight: 600;"">Objectif :</span>&nbsp;Écrire des tests lisibles et isoler la logique de vérification de la logique de préparation.</li></ul>","DMB-6.1.U1"
"59","6.1.U2","Environnement et Isolation (Base de Test)","DMB-C6.1","","<p data-line=""13"" class=""code-line code-active-line"" dir=""auto"" style=""margin-bottom: 16px; position: relative; color: rgb(36, 41, 46); font-family: -apple-system, BlinkMacSystemFont, &quot;Segoe UI&quot;, Helvetica, Arial, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;;"">Sécuriser l'exécution pour ne jamais polluer les données de travail.</p><ul data-line=""14"" class=""code-line"" dir=""auto"" style=""margin-bottom: 16px; padding-left: 2em; position: relative; color: rgb(36, 41, 46); font-family: -apple-system, BlinkMacSystemFont, &quot;Segoe UI&quot;, Helvetica, Arial, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;;""><li data-line=""14"" class=""code-line"" dir=""auto"" style=""position: relative;""><span style=""font-weight: 600;"">Contenu :</span>&nbsp;Configuration du fichier&nbsp;<code style=""font-family: SFMono-Regular, Consolas, &quot;Liberation Mono&quot;, Menlo, monospace; color: inherit; background-color: rgba(27, 31, 35, 0.05); padding: 0.2em 0.4em; border-radius: 3px; font-size: 13.6px; line-height: 1.357em; margin: 0px;"">.env.testing</code>. Utilisation d'une&nbsp;<span style=""font-weight: 600;"">Base de données de Test</span>&nbsp;dédiée (SQLite en mémoire&nbsp;<code style=""font-family: SFMono-Regular, Consolas, &quot;Liberation Mono&quot;, Menlo, monospace; color: inherit; background-color: rgba(27, 31, 35, 0.05); padding: 0.2em 0.4em; border-radius: 3px; font-size: 13.6px; line-height: 1.357em; margin: 0px;"">:memory:</code>) pour allier vitesse et isolation totale.</li><li data-line=""15"" class=""code-line"" dir=""auto"" style=""margin-top: 0.25em; position: relative;""><span style=""font-weight: 600;"">Objectif :</span>&nbsp;Maîtriser l'étanchéité entre l'environnement de développement et celui des tests.</li></ul>","DMB-6.1.U2"
"11","6.1.U3","Transactions et État Initial (Rollback)","DMB-C6.1","","<p data-line=""18"" class=""code-line"" dir=""auto"" style=""margin-bottom: 16px; position: relative; color: rgb(36, 41, 46); font-family: -apple-system, BlinkMacSystemFont, &quot;Segoe UI&quot;, Helvetica, Arial, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;;"">Garantir que chaque test repart d'une ""page blanche"".</p><ul data-line=""19"" class=""code-line"" dir=""auto"" style=""margin-bottom: 16px; padding-left: 2em; position: relative; color: rgb(36, 41, 46); font-family: -apple-system, BlinkMacSystemFont, &quot;Segoe UI&quot;, Helvetica, Arial, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;;""><li data-line=""19"" class=""code-line"" dir=""auto"" style=""position: relative;""><span style=""font-weight: 600;"">Contenu :</span>&nbsp;Utilisation des traits&nbsp;<code style=""font-family: SFMono-Regular, Consolas, &quot;Liberation Mono&quot;, Menlo, monospace; color: inherit; background-color: rgba(27, 31, 35, 0.05); padding: 0.2em 0.4em; border-radius: 3px; font-size: 13.6px; line-height: 1.357em; margin: 0px;"">RefreshDatabase</code>&nbsp;ou&nbsp;<code style=""font-family: SFMono-Regular, Consolas, &quot;Liberation Mono&quot;, Menlo, monospace; color: inherit; background-color: rgba(27, 31, 35, 0.05); padding: 0.2em 0.4em; border-radius: 3px; font-size: 13.6px; line-height: 1.357em; margin: 0px;"">DatabaseTransactions</code>. Compréhension du mécanisme de&nbsp;<span style=""font-weight: 600;"">Rollback</span>&nbsp;automatique pour que les données restent dans leur&nbsp;<span style=""font-weight: 600;"">état initial</span>&nbsp;après l'exécution.</li><li data-line=""20"" class=""code-line"" dir=""auto"" style=""margin-top: 0.25em; position: relative;""><span style=""font-weight: 600;"">Objectif :</span>&nbsp;Assurer la répétabilité des tests sans intervention manuelle sur la base de données.</li></ul>","DMB-6.1.U3"
"12","6.1.U4","Validation des Services et Données (Factories)","DMB-C6.1","","<p data-line=""23"" class=""code-line"" dir=""auto"" style=""margin-bottom: 16px; position: relative; color: rgb(36, 41, 46); font-family: -apple-system, BlinkMacSystemFont, &quot;Segoe UI&quot;, Helvetica, Arial, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;;"">Tester le cœur métier avec des scénarios variés.</p><ul data-line=""24"" class=""code-line"" dir=""auto"" style=""margin-bottom: 16px; padding-left: 2em; position: relative; color: rgb(36, 41, 46); font-family: -apple-system, BlinkMacSystemFont, &quot;Segoe UI&quot;, Helvetica, Arial, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;;""><li data-line=""24"" class=""code-line"" dir=""auto"" style=""position: relative;""><span style=""font-weight: 600;"">Contenu :</span>&nbsp;Utilisation des&nbsp;<span style=""font-weight: 600;"">Model Factories</span>&nbsp;pour générer les données de test. Réalisation de tests unitaires couvrant&nbsp;<span style=""font-weight: 600;"">toutes les méthodes</span>&nbsp;des classes Services (cas de succès et cas d'erreurs).</li><li data-line=""25"" class=""code-line"" dir=""auto"" style=""margin-top: 0.25em; position: relative;""><span style=""font-weight: 600;"">Objectif :</span>&nbsp;Garantir la robustesse de 100% de la logique métier contenue dans les Services.</li></ul>","DMB-6.1.U4"
"13","6.1.U5","Abstraction et Architecture par Interface","DMB-C6.1","","<p data-line=""28"" class=""code-line"" dir=""auto"" style=""margin-bottom: 16px; position: relative; color: rgb(36, 41, 46); font-family: -apple-system, BlinkMacSystemFont, &quot;Segoe UI&quot;, Helvetica, Arial, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;;"">Préparer le code pour la flexibilité et le Mocking.</p><ul data-line=""29"" class=""code-line"" dir=""auto"" style=""margin-bottom: 16px; padding-left: 2em; position: relative; color: rgb(36, 41, 46); font-family: -apple-system, BlinkMacSystemFont, &quot;Segoe UI&quot;, Helvetica, Arial, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;;""><li data-line=""29"" class=""code-line"" dir=""auto"" style=""position: relative;""><span style=""font-weight: 600;"">Contenu :</span>&nbsp;Création d'<span style=""font-weight: 600;"">Interfaces</span>&nbsp;pour les services. Injection de dépendances via le conteneur Laravel. Introduction au&nbsp;<span style=""font-weight: 600;"">Mocking</span>&nbsp;pour simuler des dépendances complexes.</li><li data-line=""30"" class=""code-line"" dir=""auto"" style=""margin-top: 0.25em; position: relative;""><span style=""font-weight: 600;"">Objectif :</span>&nbsp;Découpler le code pour permettre de tester une classe sans dépendre de ses services voisins.</li></ul>","DMB-6.1.U5"
"14","6.1.U6","Méthodologie TDD (Test Driven Development)","DMB-C6.1","","<p data-line=""33"" class=""code-line"" dir=""auto"" style=""margin-bottom: 16px; position: relative; color: rgb(36, 41, 46); font-family: -apple-system, BlinkMacSystemFont, &quot;Segoe UI&quot;, Helvetica, Arial, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;;"">Inverser le processus pour une conception guidée par le besoin.</p><ul data-line=""34"" class=""code-line"" dir=""auto"" style=""margin-bottom: 16px; padding-left: 2em; position: relative; color: rgb(36, 41, 46); font-family: -apple-system, BlinkMacSystemFont, &quot;Segoe UI&quot;, Helvetica, Arial, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;;""><li data-line=""34"" class=""code-line"" dir=""auto"" style=""position: relative;""><span style=""font-weight: 600;"">Contenu :</span>&nbsp;Application du cycle&nbsp;<span style=""font-weight: 600;"">Red-Green-Refactor</span>. Utilisation de l'interface (U5) pour rédiger le test avant même d'implémenter la logique concrète.</li><li data-line=""35"" class=""code-line"" dir=""auto"" style=""margin-top: 0.25em; position: relative;""><span style=""font-weight: 600;"">Objectif :</span>&nbsp;Utiliser le test comme outil de conception architecturale finale.</li></ul>","DMB-6.1.U6"
"107","7.1.1","Comprendre la syntaxe de base","DWB-7.1","https://solicode-web-mobile.github.io/autoformations-web/bases-logique-php/","Découvrir la syntaxe PHP, variables et conditions. ","DWB-7.1.1"
"108","7.1.2","Tableaux et fonctions utilisateur","DWB-7.1","https://solicode-web-mobile.github.io/autoformations-web/bases-logique-php/","Utiliser tableaux, fonctions et portée. ","DWB-7.1.2"
"109","7.1.3","Chaînes et inclusion de fichiers","DWB-7.1","https://solicode-web-mobile.github.io/autoformations-web/bases-logique-php/","Manipuler les chaînes et inclure des fichiers. ","DWB-7.1.3"
"61","7.1.U1","Logique binaire","DMB-C7.1","https://solicode-web-mobile.github.io/autoformation-mobile/binaire-matériel/","Numération binaire/hex et opérateurs/masques.","DMB-7.1.U1"
"62","7.1.U2","Matériel PC","DMB-C7.1","https://solicode-web-mobile.github.io/autoformation-mobile/binaire-matériel/","CPU/RAM/stockage et NIC/MTU.","DMB-7.1.U2"
"63","7.1.U3","OS & services","DMB-C7.1","https://solicode-web-mobile.github.io/autoformation-mobile/binaire-matériel/","Boot→services et droits/permissions.","DMB-7.1.U3"
"110","7.2.1","Traitement des formulaires HTML","DWB-7.2","https://solicode-web-mobile.github.io/autoformations-web/formulaires-navigation-securisee/","Valider et traiter des formulaires en PHP. ","DWB-7.2.1"
"111","7.2.2","Sessions et cookies","DWB-7.2","https://solicode-web-mobile.github.io/autoformations-web/formulaires-navigation-securisee/","Gérer sessions et cookies en PHP. ","DWB-7.2.2"
"64","7.2.U1","LAN & équipements","DMB-C7.2","https://solicode-web-mobile.github.io/autoformation-mobile/lan-ip/","Switch vs routeur, VLAN & ports.","DMB-7.2.U1"
"65","7.2.U2","Adressage IP","DMB-C7.2","https://solicode-web-mobile.github.io/autoformation-mobile/lan-ip/","IPv4/CIDR/DNS et DHCP/IPv6 (aperçu).","DMB-7.2.U2"
"66","7.2.U3","Outils réseau","DMB-C7.2","https://solicode-web-mobile.github.io/autoformation-mobile/lan-ip/","Ping/traceroute et netstat/pare-feu.","DMB-7.2.U3"
"112","7.3.1","Comprendre les bases de la POO","DWB-7.3","https://solicode-web-mobile.github.io/autoformations-web/programmation-orientee-objet/","Découvrir les classes, héritage et encapsulation. ","DWB-7.3.1"
"113","7.3.2","Manipuler les données avec des objets","DWB-7.3","https://solicode-web-mobile.github.io/autoformations-web/programmation-orientee-objet/","Utiliser la POO pour interagir avec une BDD. ","DWB-7.3.2"
"70","7.4.U1","Installation & conf de base","DMB-C7.4","https://solicode-web-mobile.github.io/autoformation-mobile/apache-vhosts/","Install Apache, conf & tests.","DMB-7.4.U1"
"71","7.4.U2","Vhosts & sécurité","DMB-C7.4","https://solicode-web-mobile.github.io/autoformation-mobile/apache-vhosts/","Vhost+logs, droits & rewrite.","DMB-7.4.U2"
"72","7.4.U3","Mise en ligne","DMB-C7.4","https://solicode-web-mobile.github.io/autoformation-mobile/apache-vhosts/","Mini-site PHP-FPM, bonnes pratiques HTTPS & ops.","DMB-7.4.U3"
"114","8.1.1","Comprendre les composants React","DWB-8.1","https://solicode-web-mobile.github.io/autoformations-web/c8-decouvrir-react/","Créer et utiliser des composants React. ","DWB-8.1.1"
"115","8.1.2","État local et navigation simple","DWB-8.1","https://solicode-web-mobile.github.io/autoformations-web/c8-decouvrir-react/","Gérer l’état et la navigation dans React. ","DWB-8.1.2"
"73","T.1.1","Découvrir la pédagogie active","DWB-T.1","https://solicode-web-mobile.github.io/autoformations-web/demarche-pedagogique-solicode/","Comprendre la pédagogie active et le programme Solicode. ","DWB-T.1.1"
"74","T.2.1","Collaborer dans un environnement agile","DWB-T.2","https://solicode-web-mobile.github.io/autoformations-web/collaboration-posture-professionnelle/","Travailler efficacement en équipe et comprendre les rôles dans un projet. ","DWB-T.2.1"
"75","T.3.1","Premiers pas avec Git","DWB-T.3","https://solicode-web-mobile.github.io/autoformations-web/git-github/","Initier un dépôt local et publier sur GitHub. ","DWB-T.3.1"
"76","T.3.2","Gérer un projet avec GitHub","DWB-T.3","https://solicode-web-mobile.github.io/autoformations-web/git-github/","Cloner, ignorer et organiser un dépôt GitHub. ","DWB-T.3.2"
"77","T.3.3","Travailler efficacement en équipe","DWB-T.3","https://solicode-web-mobile.github.io/autoformations-web/git-github/","Utiliser branches, pull/push et gérer les conflits. ","DWB-T.3.3"
