"ordre","reference","intitule","bareme","phase_evaluation_reference","unite_apprentissage_reference"
"2","0b1b138e-0b44-42b7-a36c-bba0ebc4b721","Les deux applications (Web et Mobile) sont fonctionnelles séparément.","2","N2","DMB-T2.U9"
"3","5f9c4501-c88e-4a41-b0db-6a7fcfb036cb","L'Application Web et l'Application Mobile (développée via NativePHP) sont parfaitement interconnectées et communiquent via l'API RESTful.","2","N3","DMB-T2.U9"
"1","e1e83f2a-8eb8-4bf0-a292-bd17d5fb0784","Du code JavaScript est présent dans le projet.","2","N2","DMB-T2.U10"
"2","811c7fa8-9e66-41f2-95f8-58079a4fb118","JavaScript est utilisé pour des validations et interactions basiques.","2","N2","DMB-T2.U10"
"3","3a7ab963-7182-4131-ab4e-a1286c8fbf67","Le JavaScript est utilisé de manière avancée pour garantir une expérience utilisateur fluide et dynamique.","2","N3","DMB-T2.U10"
"1","225af889-0ab2-4b2a-89f5-ef87532bb9a4","Le concept d'intégration de l'IA est documenté.","2","N2","DMB-T2.U11"
"2","00388cd2-d85c-4396-8575-b82b95c328db","Un Agent IA est techniquement intégré dans l'écosystème.","2","N2","DMB-T2.U11"
"3","bb71d798-75bc-4eb6-921c-ab1b953c82e6","L'Agent IA apporte une réelle valeur ajoutée métier, avec un fonctionnement démontré en direct.","2","N3","DMB-T2.U11"
"1","1a7114d6-a052-491c-abfa-37bb35c3bb37","Les visuels illustrent globalement le projet.","2","N2","DMB-T2.U12"
"2","9dbb2c01-7299-4d64-ab20-bfab7e42d765","La majorité des captures d'écran correspond au code du candidat.","2","N2","DMB-T2.U12"
"3","3a71b12b-bc08-4100-b6ab-1d9e2fb72506","Toutes les images (Rapport + Présentation) sont 100% uniques et générées par le candidat (zéro copier-coller).","2","N3","DMB-T2.U12"
"1","b83a2165-f980-496a-a28a-ab861bb22f8a","Les mentions obligatoires (Encadrant correct, date, logos OFPPT/Solicode) sont sur la page de garde.","2","N2","DMB-T2.U13"
"2","a82cc8b5-31ba-433b-ab27-511bb6850c9b","La structuration globale du document est logique.","2","N2","DMB-T2.U13"
"3","72acb92a-fa67-4a00-ab60-1e5afab79bb6","Chaque chapitre contient impérativement une introduction et une conclusion claires.","2","N3","DMB-T2.U13"
"1","bbdf6b4e-e14b-4df2-aeaf-b1a9952eb0bc","Les slides de base sont présents pour soutenir l'oral.","2","N2","DMB-T2.U14"
"2","4ab3cf6f-ba92-4eab-9e32-21ba291d960f","Les logos (OFPPT/Solicode), le nom de l'encadrant et la date de soutenance sont présents au début.","2","N2","DMB-T2.U14"
"3","cf3ab8af-bc42-498c-ab3a-fb042bcbf469","Le formalisme est parfait, incluant obligatoirement une numérotation visible sur chaque slide.","2","N3","DMB-T2.U14"
